dish-name	dish-classification	dish-ingredients	dish-combination	dish-price	dish-difficulty
STRING	SYMBOL	INSTANCE	SYMBOL	FLOAT INTEGER	INTEGER
Roast_pork_with_prunes	[Italian French Meat Hot Classical Gluten-free Lactose-free]	[[oil] [garlic] [salt] [black_pepper] [pork] [red_wine] [prune]]	[Italian French Spanish Lactose-free Gluten-free]	7.50	6
Coq_au_vin	[French Islamic Classical Hot Meat Kosher Gourmet]	[[red_wine] [onion] [oil] [mushroom] [bacon] [butter] [chicken] [salt] [black_pepper] [wheat_flour] [carrot]]	[French Italian Spanish Mediterranean Kosher Islamic Gourmet]	8.30	8
Spanish_omelette	[Spanish Vegetarian Gluten-free Islamic Kosher Classical Hoy]	[[potato] [onion] [eggs] [black_pepper] [salt] [oil]]	[Spanish Vegetarian Gluten-free Islamic Kosher Mediterranean]	6.00	2
Paella	[Spanish Mediterranean Fish Hot Classical]	[[rice] [onion] [tomato] [garlic] [oil] [salt] [saffron] [cuttlefish] [mussel] [clam] [prawn]]	[Spanish Mediterranean Lactose-free]	9.00	7
Pan_seared_salmon	[Moroccan Hot Fish Classical Mediterranean Lactose-free Gluten-free Islamic Kosher]	[[salmon] [onion] [garlic] [oil] [cumin] [paprika] [cilantro] [lemon_juice] [chili_pepper] [salt]]	[Moroccan Mediterranean Lactose-free Gluten-free]	7.20	6
Cabbage_roll	[Japanese Chinese Vegetarian Meat Hot Classical Lactose-free]	[[cabbage] [onion] [beef] [pork] [salt] [black_pepper] [tomato] [chicken_broth] [bread_crumbs]]	[Japanese Chinese Lactose-free Mediterranean]	6.50	8
Burrito_pie	[Mexican Modern Meat Hot Kosher Islamic]	[[beef] [onion] [garlic] [olive] [chili_pepper] [tomato] [tortilla] [cheese] [taco_sauce]]	[Mexican]	5.50	2
Chicken_wings_with_chili-lime_butter	[American Meat Hot Mexican Kosher Islamic Classical]	[[chicken] [oil] [black_pepper] [butter] [curry_paste] [honey] [soy_sauce] [lime]]	[American Mexican Indian]	6.40	7
Palak_panner	[Indian Vegetarian Vegetables Hot Islamic Kosher Modern Gourmet]	[[oil] [garlic] [ginger] [onion] [cumin] [coriander] [turmeric] [sour_cream] [spinach] [tomato] [cilantro] [ricotta_cheese] [salt]]	[Indian Vegetarian Islamic Kosher Gourmet]	7.50	8
Couscous_meatlof	[Modern Turkish Hot Meat Modern Moroccan]	[[onion] [salt] [bacon] [tomato] [brown_sugar] [black_pepper] [eggs] [couscous] [zucchini] [ground_turkey] [dijon_mustard]]	[Turkish Moroccan]	5.70	7
Sweet_and_sour_aubergines	[Vegan Vegetarian Mediterranean Lactose-free Modern Hot]	[[brown_sugar] [aubergine] [salt] [gram_flour] [cumin] [coriander] [ginger] [garlic] [vegetable_oil] [lemon] [paprika]]	[Vegan Vegetarian Mediterranean Lactose-free]	4.50	4
Dumplings_filled_with_brocolli_and_zucchini_in_garlic_sauce	[Chinese Vegan Vegetarian Hot Classical Lactose-free Gluten-free Vegetables Kosher Islamic]	[[wheat_flour] [salt] [oil] [corn_starch] [broccoli] [zucchini] [garlic] [sugar] [sesame_oil] [hoisin_sauce]]	[Vegan Vegetarian Lactose-free Gluten-free Chinese Japanese Indian]	5.00	5
Tuna_steak	[Mediterranean Gluten-free Lactose-free Fish Kosher Islamic Italian Spanish]	[[tuna] [tomato] [garlic] [vegetable_oil] [onion] [black_pepper]]	[Spanish Italian Mediterranean Japanese American]	8.70	6
Persian_pie	[Turkish Mediterranean Vegetarian Kosher Islamic Indian Gluten-free Lactose-free Vegetables]	[[aubergine] [cheese] [cabbage] [onion] [garlic] [wheat_flour]]	[Spanish Italian Mediterranean Indian Turkish Moroccan]	14.90	6
Marinate_mussels	[French Fish Cold Vegetarian Gluten-free Vegan Gourmet Classical Mediterranean]	[[white_wine] [onion] [thyme] [parsley] [pepper] [butter] [mussel]]	[French Mediterranean Spanish Vegan Vegetarian Gourmet]	8.50	5
Braised_chuck_roast_in_red_wine	[Italian Kosher Islamic Lactose-free Gluten-free Meat Hot Classical]	[[beef] [onion] [carrot] [black_pepper] [garlic] [cinamon] [red_wine] [oil] [salt] [cardamon] [parsley]]	[Italian Kosher Islamic Lactose-free Gluten-free French Turkish Spanish]	7.70	4 
